0,536518,
2560,0,
2050,0,
1540,0,
1030,0,
520,4,
10,32457,
2060,0,
1550,0,
1040,0,
530,4,
20,4641,
2990,0,
2070,0,
1560,0,
2820,0,
1050,0,
540,1,
2650,0,
30,1786,
2080,0,
1570,0,
1060,0,
550,4,
40,3559,
2090,0,
1580,0,
1070,0,
560,3,
50,1780,
2100,0,
2910,0,
1590,0,
1080,0,
2740,0,
570,5,
60,901,
2570,0,
2110,0,
1600,0,
1090,0,
580,3,
70,1191,
2120,0,
1610,0,
1100,0,
590,3,
80,677,
2130,0,
1620,0,
2830,0,
1110,0,
600,5,
2660,0,
90,372,
2140,0,
1630,0,
1120,0,
610,2,
100,279,
2150,0,
1640,0,
1130,0,
620,3,
110,298,
2160,0,
2920,0,
1650,0,
1140,0,
2750,0,
630,2,
120,198,
2580,0,
2170,0,
1660,0,
1150,0,
640,2,
130,153,
2180,0,
1670,0,
1160,0,
650,2,
140,188,
2190,0,
1680,0,
2840,0,
1170,0,
660,2,
2670,0,
150,334,
2200,0,
1690,0,
1180,0,
670,1,
160,348,
2210,0,
1700,0,
1190,0,
680,4,
170,138,
2220,0,
2930,0,
1710,0,
1200,0,
2760,0,
690,1,
180,57,
2590,0,
2230,0,
1720,0,
1210,0,
700,4,
190,90,
2240,0,
1730,0,
1220,0,
710,2,
200,30,
2250,0,
1740,0,
2850,0,
1230,0,
720,2,
2680,0,
210,28,
2260,0,
1750,0,
1240,0,
730,2,
220,28,
2270,0,
1760,0,
1250,0,
740,0,
230,22,
2280,0,
2940,0,
1770,0,
1260,0,
2770,0,
750,3,
240,26,
2600,0,
2290,0,
1780,0,
1270,0,
760,45,
250,73,
2300,0,
1790,0,
1280,0,
770,48,
260,88,
2310,0,
1800,0,
2860,0,
1290,0,
780,10,
2690,0,
270,12,
2320,0,
1810,0,
1300,0,
790,0,
280,17,
2330,0,
1820,0,
1310,0,
800,0,
290,13,
2340,0,
2950,0,
1830,0,
1320,0,
2780,0,
810,0,
300,12,
2610,0,
2350,0,
1840,0,
1330,0,
820,0,
310,18,
2360,0,
1850,0,
1340,0,
830,0,
320,11,
2370,0,
1860,0,
2870,0,
1350,0,
840,0,
2700,0,
330,18,
2380,0,
1870,0,
1360,0,
850,0,
340,16,
2390,0,
1880,0,
1370,0,
860,0,
350,15,
2400,0,
2960,0,
1890,0,
1380,0,
2790,0,
870,0,
360,12,
2620,0,
2410,0,
1900,0,
1390,0,
880,0,
370,20,
2420,0,
1910,0,
1400,0,
890,0,
380,286,
2430,0,
1920,0,
2880,0,
1410,0,
900,0,
2710,0,
390,49,
2440,0,
1930,0,
1420,0,
910,0,
400,6,
2450,0,
1940,0,
1430,0,
920,0,
410,5,
2460,0,
2970,0,
1950,0,
1440,0,
2800,0,
930,0,
420,4,
2630,0,
2470,0,
1960,0,
1450,0,
940,0,
430,3,
2480,0,
1970,0,
1460,0,
950,0,
440,5,
2490,0,
1980,0,
2890,0,
1470,0,
960,0,
2720,0,
450,5,
2500,0,
1990,0,
1480,0,
970,0,
460,6,
2510,0,
2000,0,
1490,0,
980,0,
470,2,
2520,0,
2980,0,
2010,0,
1500,0,
2810,0,
990,0,
480,5,
2640,0,
2530,0,
2020,0,
1510,0,
1000,0,
490,2,
2540,0,
2030,0,
1520,0,
1010,0,
500,4,
2550,0,
2040,0,
2900,0,
1530,0,
1020,0,
2730,0,
510,6,
